TestType,TestName,ConfigurationFile,BasicTestConfiguration,Mode
SmartCtvDc,XOVERLUT_DDR_SMARTCTV_K_END_TAP_FIXDIG_MIN_F1_RATIO1_VTXOVER1,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\XOVER\\Ddr1ch4g_XoverLut_Sort.smart.json""",6801,"""Basic"""
SmartCtvDc,HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_DDR_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\HVMADC\\Ddr1ch4g_HVMADC_Reads.smart.json""",,"""CtvTag"""
SmartCtvDc,HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\HVMADC\\Ddr1ch4g_HVMADC_Reads_TRIMMING.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_PREHVQK_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_PREHVQK_TAP_FIXDIG_MAX_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_SDTEND_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_SDTEND_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_SDTEND_TAP_FIXDIG_MIN_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_SDTEND_TAP_FIXDIG_MAX_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_SDTEND_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_SDTEND_TAP_FIXDIG_MAX_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,HVMADC_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_NOM_F1_RATIO1_DDR_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\HVMADC\\Ddr1ch4g_HVMADC_Reads.smart.json""",,"""CtvTag"""
SmartCtvDc,HVMADC_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\HVMADC\\Ddr1ch4g_HVMADC_Reads.smart.json""",,"""CtvTag"""
SmartCtvDc,PARAMETRIC_DDR_SMARTCTV_K_END_TAP_FIXDIG_MIN_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_VCM.smart.json""",,"""CtvTag"""
SmartCtvDc,PARAMETRIC_DDR_SMARTCTV_K_END_TAP_FIXDIG_MAX_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_VCM.smart.json""",,"""CtvTag"""
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_PREHVQK_TAP_FIXDIG_X_X_RATIO_CHANGE,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_PREHVQK_TAP_FIXDIG_X_X_RATIO3_CHANGE,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_DDR_HVMADC,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
PrimePatConfigTestMethod,CTRL_X_PATMOD_E_SDTEND_TAP_FIXDIG_X_X_RATIO_CHANGE_MCR_HVMADC,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PATMOD\\RatioChange.SetPoints.json""",,
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_POSTHVQK_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_DDR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_POSTHVQK_TAP_FIXDIG_MIN_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_POSTHVQK_TAP_FIXDIG_MIN_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDcServer,ACIOLB_DDR_CTVD_K_POSTHVQK_TAP_FIXDIG_MAX_HFM_MCR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration_MCR.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_POSTHVQK_TAP_FIXDIG_MAX_LFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,RANKSWITCHING_DDR_CTVD_E_POSTHVQK_TAP_FIXDIG_MAX_HFM_DDR,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\ACIOLB\\Aciolb_Calibration.smart.json""",,"""CtvTag"""
SmartCtvDc,LKG_DDR_SMARTCTV_K_END_TAP_FIXDIG_MIN_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_LKGVCM.smart.json""",,"""CtvTag"""
SmartCtvDc,LKG_DDR_SMARTCTV_K_END_TAP_FIXDIG_MAX_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_LKGVCM.smart.json""",,"""CtvTag"""
SmartCtvDc,PARAMETRIC_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MIN_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_VCM.smart.json""",,"""CtvTag"""
SmartCtvDc,PARAMETRIC_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MAX_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_VCM.smart.json""",,"""CtvTag"""
SmartCtvDc,LKG_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MIN_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_LKGVCM.smart.json""",,"""CtvTag"""
SmartCtvDc,LKG_DDR_SMARTCTV_K_SDTEND_TAP_FIXDIG_MAX_F1_RATIO1_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\ParametricNT_LKGVCM.smart.json""",,"""CtvTag"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_SDTEND_TAP_X_MIN_F1_RATIO1_RONUP,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_SDTEND_TAP_X_MIN_F1_RATIO1_RONDN,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PARAMETRIC\\SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_END_TAP_X_MIN_F1_RATIO1_RONUP,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\PARAMETRIC_SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,VOX_CLK_SMARTCTVDC_K_END_TAP_X_MIN_F1_RATIO1_RONDN,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\PARAMETRIC\\SORT\\CLK_DC_MEASUREMENTS.smart.json""",1300,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6800,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_DFI_FREQ_CHECK,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6801,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_CSR_DUMP_DDR1CHG4,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6802,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_CSR_DUMP_MMC,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6803,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_FWLOAD_TAP2GPSB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6804,"""Basic"""
SmartCtvDc,BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_FWLOAD_STF2SB,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""./Modules/MIO_DDR/InputFiles/SmartCtv/BBSTEPS/Ddr1ch4g_BBSTEPS_Reads_SORT.smart.json""",6804,"""Basic"""
SmartCtvDc,CTRL_DDR_SMARTCTVDC_E_PREHVQK_TAP_FIXDIG_MIN_LFM_DDR_DFF_SETTING,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\DFF\\Ddr1ch4g_DFF_Setting.smart.json""",6800,"""Basic"""
SmartCtvDc,XOVERLUT_DDR_SMARTCTV_K_END_TAP_FIXDIG_MIN_F1_RATIO1_VTXOVER2,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"")+""\\Modules\\MIO_DDR\\InputFiles\\SmartCtv\\XOVER\\Ddr1ch4g_XoverLut_Sort.smart.json""",6802,"""Basic"""
