TestType,TestName,ConfigurationFile,BasicTestConfiguration,Mode
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MIN_2500_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54000,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MIN_5000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54001,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MIN_8000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54002,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MIN_16000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54003,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MIN_32000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54004,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_E_END_X_X_MIN_64000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54005,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MAX_2500_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54000,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MAX_5000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54001,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MAX_8000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54002,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MAX_16000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54003,
SmartCtvDcServer,ISODNELB_PCIE_SMARTCTVDC_K_END_X_X_MAX_32000_X,"GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + SIO_PCIE.inputFilePath + UCC.DNELB",54004,
