Pin,MC,Channel,TYPE,SubChannel,Partition,Nibble,Lane,Bit,Rank,PinName,FieldName,Field,Size,Base,Codification,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_Version,M0_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_Type,M0_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,x,x,x,x,x,x,x,x,Layout_StartAddr,M0_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M0,0,DATA,x,x,x,x,x,x,x,STATUSDATA,M0_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_Version,M1_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_Type,M1_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,x,x,x,x,x,x,x,x,Layout_StartAddr,M1_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M1,1,DATA,x,x,x,x,x,x,x,STATUSDATA,M1_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_Version,M2_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_Type,M2_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,x,x,x,x,x,x,x,x,Layout_StartAddr,M2_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M2,2,DATA,x,x,x,x,x,x,x,STATUSDATA,M2_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_Version,M3_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_Type,M3_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,x,x,x,x,x,x,x,x,Layout_StartAddr,M3_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M3,3,DATA,x,x,x,x,x,x,x,STATUSDATA,M3_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_Version,M4_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_Type,M4_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,x,x,x,x,x,x,x,x,Layout_StartAddr,M4_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M4,4,DATA,x,x,x,x,x,x,x,STATUSDATA,M4_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_Version,M5_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_Type,M5_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,x,x,x,x,x,x,x,x,Layout_StartAddr,M5_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M5,5,DATA,x,x,x,x,x,x,x,STATUSDATA,M5_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_Version,M6_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_Type,M6_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,x,x,x,x,x,x,x,x,Layout_StartAddr,M6_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M6,6,DATA,x,x,x,x,x,x,x,STATUSDATA,M6_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_Version,M7_x_x_x_x_x_LayoutVer,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_Type,M7_x_x_x_x_x_LayoutTyp,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,x,x,x,x,x,x,x,x,Layout_StartAddr,M7_x_x_x_x_x_LayoutStAddr,32,16,-,-,-,-,-,-,2.0,LAYOUT,LAYOUT
TDO,M7,7,DATA,x,x,x,x,x,x,x,STATUSDATA,M7_x_x_x_x_x_ConsldtStsData,16,10,-,-,-,-,-,-,2.0,STATUS_DATA,DQSTATUS
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,leftedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,LEFTEDGE_DATA,DQLEFT
TDO,M0,0,DATA,A,0,0,0,x,x,DQ0,rightedge,M0_A_0_0_0_DQ0,16,-,2Comp,-,-,-,-,-,2.0,RIGHTEDGE_DATA,DQRIGH
