Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,A,0,0,LdoVrefctrl,ddrd_n0_ldo_mdll_ctl0,M0_A_0_0_LdoVrefctrl,9,-,-,-,-,403,450,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,0,0,LdoMdllWkLockOffset,ddrd_n0_ldo_mdll_ctl3,M0_A_0_0_LdoMdllWkLockOffset,6,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,0,0,LdoMdllEnCalIdleLeg,ddrd_n0_ldo_mdll_ctl2,M0_A_0_0_LdoMdllEnCalIdleLeg,4,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,0,1,LdoVrefctrl,ddrd_n1_ldo_mdll_ctl0,M0_A_0_1_LdoVrefctrl,9,-,-,-,-,403,450,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,0,1,LdoMdllWkLockOffset,ddrd_n1_ldo_mdll_ctl3,M0_A_0_1_LdoMdllWkLockOffset,6,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,0,1,LdoMdllEnCalIdleLeg,ddrd_n1_ldo_mdll_ctl2,M0_A_0_1_LdoMdllEnCalIdleLeg,4,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,0,LdoVrefctrl,ddrd_n0_ldo_mdll_ctl0,M0_A_1_0_LdoVrefctrl,9,-,-,-,-,403,450,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,0,LdoMdllWkLockOffset,ddrd_n0_ldo_mdll_ctl3,M0_A_1_0_LdoMdllWkLockOffset,6,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,0,LdoMdllEnCalIdleLeg,ddrd_n0_ldo_mdll_ctl2,M0_A_1_0_LdoMdllEnCalIdleLeg,4,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,1,LdoVrefctrl,ddrd_n1_ldo_mdll_ctl0,M0_A_1_1_LdoVrefctrl,9,-,-,-,-,403,450,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,1,LdoMdllWkLockOffset,ddrd_n1_ldo_mdll_ctl3,M0_A_1_1_LdoMdllWkLockOffset,6,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,1,1,LdoMdllEnCalIdleLeg,ddrd_n1_ldo_mdll_ctl2,M0_A_1_1_LdoMdllEnCalIdleLeg,4,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,2,0,LdoVrefctrl,ddrd_n0_ldo_mdll_ctl0,M0_A_2_0_LdoVrefctrl,9,-,-,-,-,403,450,0,LDOMDLL_CAL_DATA,LDOMDLL
TDO,M0,DATA,-,-,A,2,0,LdoMdllWkLockOffset,ddrd_n0_ldo_mdll_ctl3,M0_A_2_0_LdoMdllWkLockOffset,6,-,-,-,-,-,-,0,LDOMDLL_CAL_DATA,LDOMDLL
