Pin,MC,TYPE,Parameter,Channel,SubChannel,Partition,Nibble,FieldName,Register,Field,Size,Base,ExpectedData,StringData,StorageToken,LowLimit,HighLimit,ExitPort,ItuffToken,ItuffDescriptor
TDO,M0,DATA,-,-,A,0,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_A_0_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,0,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_A_0_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,1,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_A_1_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,1,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_A_1_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,2,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_A_2_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,2,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_A_2_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,3,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_A_3_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,3,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_A_3_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,4,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_A_4_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,A,4,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_A_4_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,B,0,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_B_0_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,B,0,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_B_0_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,B,1,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_B_1_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,B,1,1,rxrt_dqs_dly_adj,ddrd_n1_comp_la2,M0_B_1_1_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
TDO,M0,DATA,-,-,B,2,0,rxrt_dqs_dly_adj,ddrd_n0_comp_la2,M0_B_2_0_RxrtDqsDlyAdj,7,-,0,-,-,-,-,0,RXRETRAIN_DATA,RXRETRAIN
