Index,MC,TYPE,SubChannel,Partition,Nibble,FieldName,Register,Field,Name,Name_Index,combined_string
0,M0,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M0_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_0,&---M0---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M0_x_x_x_LdoVrefctrl
1,M1,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M1_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_1,&---M1---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M1_x_x_x_LdoVrefctrl
2,M2,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M2_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_2,&---M2---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M2_x_x_x_LdoVrefctrl
3,M3,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M3_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_3,&---M3---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M3_x_x_x_LdoVrefctrl
4,M4,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M4_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_4,&---M4---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M4_x_x_x_LdoVrefctrl
5,M5,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M5_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_5,&---M5---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M5_x_x_x_LdoVrefctrl
6,M6,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M6_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_6,&---M6---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M6_x_x_x_LdoVrefctrl
7,M7,COMP,x,x,x,ldo_vrefctrl,ddrcomp_ldo_deskew_ctl0,M7_x_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_COMP_7,&---M7---COMP---x---x---x---ldo_vrefctrl---ddrcomp_ldo_deskew_ctl0---M7_x_x_x_LdoVrefctrl
0,M0,DATA,A,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_A_0_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_0,&---M0---DATA---A---0---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_A_0_0_LdoVrefctrl
1,M0,DATA,A,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_A_0_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_1,&---M0---DATA---A---0---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_A_0_0_LdoDriverStaticLegOfs
2,M0,DATA,A,0,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_A_0_1_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_2,&---M0---DATA---A---0---1---ldo_vrefctrl---ddrd_n1_ldo_deskew_ctl0---M0_A_0_1_LdoVrefctrl
3,M0,DATA,A,0,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_A_0_1_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_3,&---M0---DATA---A---0---1---ldo_driver_static_leg_offset---ddrd_n1_ldo_deskew_ctl3---M0_A_0_1_LdoDriverStaticLegOfs
4,M0,DATA,A,1,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_A_1_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_4,&---M0---DATA---A---1---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_A_1_0_LdoVrefctrl
5,M0,DATA,A,1,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_A_1_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_5,&---M0---DATA---A---1---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_A_1_0_LdoDriverStaticLegOfs
6,M0,DATA,A,1,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_A_1_1_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_6,&---M0---DATA---A---1---1---ldo_vrefctrl---ddrd_n1_ldo_deskew_ctl0---M0_A_1_1_LdoVrefctrl
7,M0,DATA,A,1,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_A_1_1_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_7,&---M0---DATA---A---1---1---ldo_driver_static_leg_offset---ddrd_n1_ldo_deskew_ctl3---M0_A_1_1_LdoDriverStaticLegOfs
8,M0,DATA,A,2,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_A_2_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_8,&---M0---DATA---A---2---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_A_2_0_LdoVrefctrl
9,M0,DATA,A,2,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_A_2_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_9,&---M0---DATA---A---2---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_A_2_0_LdoDriverStaticLegOfs
10,M0,DATA,A,2,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_A_2_1_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_10,&---M0---DATA---A---2---1---ldo_vrefctrl---ddrd_n1_ldo_deskew_ctl0---M0_A_2_1_LdoVrefctrl
11,M0,DATA,A,2,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_A_2_1_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_11,&---M0---DATA---A---2---1---ldo_driver_static_leg_offset---ddrd_n1_ldo_deskew_ctl3---M0_A_2_1_LdoDriverStaticLegOfs
12,M0,DATA,A,3,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_A_3_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_12,&---M0---DATA---A---3---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_A_3_0_LdoVrefctrl
13,M0,DATA,A,3,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_A_3_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_13,&---M0---DATA---A---3---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_A_3_0_LdoDriverStaticLegOfs
14,M0,DATA,A,3,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_A_3_1_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_14,&---M0---DATA---A---3---1---ldo_vrefctrl---ddrd_n1_ldo_deskew_ctl0---M0_A_3_1_LdoVrefctrl
15,M0,DATA,A,3,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_A_3_1_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_15,&---M0---DATA---A---3---1---ldo_driver_static_leg_offset---ddrd_n1_ldo_deskew_ctl3---M0_A_3_1_LdoDriverStaticLegOfs
16,M0,DATA,A,4,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_A_4_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_16,&---M0---DATA---A---4---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_A_4_0_LdoVrefctrl
17,M0,DATA,A,4,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_A_4_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_17,&---M0---DATA---A---4---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_A_4_0_LdoDriverStaticLegOfs
18,M0,DATA,A,4,1,ldo_vrefctrl,ddrd_n1_ldo_deskew_ctl0,M0_A_4_1_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_18,&---M0---DATA---A---4---1---ldo_vrefctrl---ddrd_n1_ldo_deskew_ctl0---M0_A_4_1_LdoVrefctrl
19,M0,DATA,A,4,1,ldo_driver_static_leg_offset,ddrd_n1_ldo_deskew_ctl3,M0_A_4_1_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_19,&---M0---DATA---A---4---1---ldo_driver_static_leg_offset---ddrd_n1_ldo_deskew_ctl3---M0_A_4_1_LdoDriverStaticLegOfs
20,M0,DATA,B,0,0,ldo_vrefctrl,ddrd_n0_ldo_deskew_ctl0,M0_B_0_0_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_20,&---M0---DATA---B---0---0---ldo_vrefctrl---ddrd_n0_ldo_deskew_ctl0---M0_B_0_0_LdoVrefctrl
21,M0,DATA,B,0,0,ldo_driver_static_leg_offset,ddrd_n0_ldo_deskew_ctl3,M0_B_0_0_LdoDriverStaticLegOfs,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDODESKEW_DATA_21,&---M0---DATA---B---0---0---ldo_driver_static_leg_offset---ddrd_n0_ldo_deskew_ctl3---M0_B_0_0_LdoDriverStaticLegOfs
