Index,MC,TYPE,SubChannel,Partition,Nibble,FieldName,Register,Field,Name,Name_Index,combined_string
0,M0,CC,A,x,x,LdoVrefctrl,ddrcc_ldo_mdll_ctl0,M0_A_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_0,&---M0---CC---A---x---x---LdoVrefctrl---ddrcc_ldo_mdll_ctl0---M0_A_x_x_LdoVrefctrl
1,M0,CC,A,x,x,LdoMdllEnCalIdleLeg,ddrcc_ldo_mdll_ctl2,M0_A_x_x_LdoMdllEnCalIdleLeg,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_1,&---M0---CC---A---x---x---LdoMdllEnCalIdleLeg---ddrcc_ldo_mdll_ctl2---M0_A_x_x_LdoMdllEnCalIdleLeg
2,M0,CC,B,x,x,LdoVrefctrl,ddrcc_ldo_mdll_ctl0,M0_B_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_2,&---M0---CC---B---x---x---LdoVrefctrl---ddrcc_ldo_mdll_ctl0---M0_B_x_x_LdoVrefctrl
3,M0,CC,B,x,x,LdoMdllEnCalIdleLeg,ddrcc_ldo_mdll_ctl2,M0_B_x_x_LdoMdllEnCalIdleLeg,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_3,&---M0---CC---B---x---x---LdoMdllEnCalIdleLeg---ddrcc_ldo_mdll_ctl2---M0_B_x_x_LdoMdllEnCalIdleLeg
4,M1,CC,A,x,x,LdoVrefctrl,ddrcc_ldo_mdll_ctl0,M1_A_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_4,&---M1---CC---A---x---x---LdoVrefctrl---ddrcc_ldo_mdll_ctl0---M1_A_x_x_LdoVrefctrl
5,M1,CC,A,x,x,LdoMdllEnCalIdleLeg,ddrcc_ldo_mdll_ctl2,M1_A_x_x_LdoMdllEnCalIdleLeg,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_5,&---M1---CC---A---x---x---LdoMdllEnCalIdleLeg---ddrcc_ldo_mdll_ctl2---M1_A_x_x_LdoMdllEnCalIdleLeg
6,M1,CC,B,x,x,LdoVrefctrl,ddrcc_ldo_mdll_ctl0,M1_B_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_6,&---M1---CC---B---x---x---LdoVrefctrl---ddrcc_ldo_mdll_ctl0---M1_B_x_x_LdoVrefctrl
7,M1,CC,B,x,x,LdoMdllEnCalIdleLeg,ddrcc_ldo_mdll_ctl2,M1_B_x_x_LdoMdllEnCalIdleLeg,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_7,&---M1---CC---B---x---x---LdoMdllEnCalIdleLeg---ddrcc_ldo_mdll_ctl2---M1_B_x_x_LdoMdllEnCalIdleLeg
8,M2,CC,A,x,x,LdoVrefctrl,ddrcc_ldo_mdll_ctl0,M2_A_x_x_LdoVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_8,&---M2---CC---A---x---x---LdoVrefctrl---ddrcc_ldo_mdll_ctl0---M2_A_x_x_LdoVrefctrl
9,M2,CC,A,x,x,LdoMdllEnCalIdleLeg,ddrcc_ldo_mdll_ctl2,M2_A_x_x_LdoMdllEnCalIdleLeg,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_LDOMDLL_CAL_CC_9,&---M2---CC---A---x---x---LdoMdllEnCalIdleLeg---ddrcc_ldo_mdll_ctl2---M2_A_x_x_LdoMdllEnCalIdleLeg
