Index,MC,TYPE,SubChannel,Partition,Nibble,FieldName,Register,Field,Name,Name_Index,combined_string
0,M0,CC,A,x,x,detrm_lock,ddrcc_dll_csr,M0_A_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_0,&---M0---CC---A---x---x---detrm_lock---ddrcc_dll_csr---M0_A_x_x_DetrmLock
1,M0,CC,B,x,x,detrm_lock,ddrcc_dll_csr,M0_B_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_1,&---M0---CC---B---x---x---detrm_lock---ddrcc_dll_csr---M0_B_x_x_DetrmLock
2,M1,CC,A,x,x,detrm_lock,ddrcc_dll_csr,M1_A_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_2,&---M1---CC---A---x---x---detrm_lock---ddrcc_dll_csr---M1_A_x_x_DetrmLock
3,M1,CC,B,x,x,detrm_lock,ddrcc_dll_csr,M1_B_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_3,&---M1---CC---B---x---x---detrm_lock---ddrcc_dll_csr---M1_B_x_x_DetrmLock
4,M2,CC,A,x,x,detrm_lock,ddrcc_dll_csr,M2_A_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_4,&---M2---CC---A---x---x---detrm_lock---ddrcc_dll_csr---M2_A_x_x_DetrmLock
5,M2,CC,B,x,x,detrm_lock,ddrcc_dll_csr,M2_B_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_5,&---M2---CC---B---x---x---detrm_lock---ddrcc_dll_csr---M2_B_x_x_DetrmLock
6,M3,CC,A,x,x,detrm_lock,ddrcc_dll_csr,M3_A_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_6,&---M3---CC---A---x---x---detrm_lock---ddrcc_dll_csr---M3_A_x_x_DetrmLock
7,M3,CC,B,x,x,detrm_lock,ddrcc_dll_csr,M3_B_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_7,&---M3---CC---B---x---x---detrm_lock---ddrcc_dll_csr---M3_B_x_x_DetrmLock
8,M4,CC,A,x,x,detrm_lock,ddrcc_dll_csr,M4_A_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_8,&---M4---CC---A---x---x---detrm_lock---ddrcc_dll_csr---M4_A_x_x_DetrmLock
9,M4,CC,B,x,x,detrm_lock,ddrcc_dll_csr,M4_B_x_x_DetrmLock,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_MDLLLOCK_CC_9,&---M4---CC---B---x---x---detrm_lock---ddrcc_dll_csr---M4_B_x_x_DetrmLock
