Index,MC,TYPE,SubChannel,Partition,Nibble,Bit,Offset,FieldName,Register,Field,Name,Name_Index,combined_string
0,M0,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M0_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_0,&---M0---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M0_x_x_x_x_x_DqrxVrefctrl
1,M0,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M0_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_1,&---M0---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M0_x_x_x_x_x_RdacPreampVoutcm
2,M0,COMP,x,x,x,x,x,RdacSumVoutcm,ddrcomp_rxRdac_ctl1,M0_x_x_x_x_x_RdacSumVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_2,&---M0---COMP---x---x---x---x---x---RdacSumVoutcm---ddrcomp_rxRdac_ctl1---M0_x_x_x_x_x_RdacSumVoutcm
3,M0,COMP,x,x,x,x,x,SumOffsetTune,ddrcomp_rxSum_ctl1,M0_x_x_x_x_x_SumOffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_3,&---M0---COMP---x---x---x---x---x---SumOffsetTune---ddrcomp_rxSum_ctl1---M0_x_x_x_x_x_SumOffsetTune
4,M0,COMP,x,x,x,x,x,SamplerP0Offset,ddrcomp_SamplerOffset0,M0_x_x_x_x_x_SamplerP0Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_4,&---M0---COMP---x---x---x---x---x---SamplerP0Offset---ddrcomp_SamplerOffset0---M0_x_x_x_x_x_SamplerP0Offset
5,M0,COMP,x,x,x,x,x,SamplerP1Offset,ddrcomp_SamplerOffset0,M0_x_x_x_x_x_SamplerP1Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_5,&---M0---COMP---x---x---x---x---x---SamplerP1Offset---ddrcomp_SamplerOffset0---M0_x_x_x_x_x_SamplerP1Offset
6,M0,COMP,x,x,x,x,x,SamplerP2Offset,ddrcomp_SamplerOffset1,M0_x_x_x_x_x_SamplerP2Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_6,&---M0---COMP---x---x---x---x---x---SamplerP2Offset---ddrcomp_SamplerOffset1---M0_x_x_x_x_x_SamplerP2Offset
7,M0,COMP,x,x,x,x,x,SamplerP3Offset,ddrcomp_SamplerOffset1,M0_x_x_x_x_x_SamplerP3Offset,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_7,&---M0---COMP---x---x---x---x---x---SamplerP3Offset---ddrcomp_SamplerOffset1---M0_x_x_x_x_x_SamplerP3Offset
8,M1,COMP,x,x,x,x,x,dqrx_vrefctrl,ddrcomp_dqs_vref_ctl,M1_x_x_x_x_x_DqrxVrefctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_8,&---M1---COMP---x---x---x---x---x---dqrx_vrefctrl---ddrcomp_dqs_vref_ctl---M1_x_x_x_x_x_DqrxVrefctrl
9,M1,COMP,x,x,x,x,x,Rdac_preampVoutcm,ddrcomp_rxRdac_ctl1,M1_x_x_x_x_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_COMP_9,&---M1---COMP---x---x---x---x---x---Rdac_preampVoutcm---ddrcomp_rxRdac_ctl1---M1_x_x_x_x_x_RdacPreampVoutcm
