Index,MC,TYPE,SubChannel,Partition,Nibble,FieldName,Register,Field,Name,Name_Index,combined_string
0,M0,CC,A,0,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[0],M0_A_0_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_0,&---M0---CC---A---0---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[0]---M0_A_0_x_SaVocIdacVctrl
1,M0,CC,A,1,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[1],M0_A_1_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_1,&---M0---CC---A---1---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[1]---M0_A_1_x_SaVocIdacVctrl
2,M0,CC,A,2,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[2],M0_A_2_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_2,&---M0---CC---A---2---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[2]---M0_A_2_x_SaVocIdacVctrl
3,M0,CC,A,3,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[3],M0_A_3_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_3,&---M0---CC---A---3---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[3]---M0_A_3_x_SaVocIdacVctrl
4,M0,CC,A,4,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[4],M0_A_4_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_4,&---M0---CC---A---4---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[4]---M0_A_4_x_SaVocIdacVctrl
5,M0,CC,A,5,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[5],M0_A_5_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_5,&---M0---CC---A---5---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[5]---M0_A_5_x_SaVocIdacVctrl
6,M0,CC,A,6,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[6],M0_A_6_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_6,&---M0---CC---A---6---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[6]---M0_A_6_x_SaVocIdacVctrl
7,M0,CC,A,7,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[7],M0_A_7_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_7,&---M0---CC---A---7---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[7]---M0_A_7_x_SaVocIdacVctrl
8,M0,CC,A,8,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[8],M0_A_8_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_8,&---M0---CC---A---8---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[8]---M0_A_8_x_SaVocIdacVctrl
9,M0,CC,A,9,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[9],M0_A_9_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_9,&---M0---CC---A---9---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[9]---M0_A_9_x_SaVocIdacVctrl
10,M0,CC,A,10,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[10],M0_A_10_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_10,&---M0---CC---A---10---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[10]---M0_A_10_x_SaVocIdacVctrl
11,M0,CC,A,11,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[11],M0_A_11_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_11,&---M0---CC---A---11---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[11]---M0_A_11_x_SaVocIdacVctrl
12,M0,CC,B,0,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[0],M0_B_0_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_12,&---M0---CC---B---0---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[0]---M0_B_0_x_SaVocIdacVctrl
13,M0,CC,B,1,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[1],M0_B_1_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_13,&---M0---CC---B---1---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[1]---M0_B_1_x_SaVocIdacVctrl
14,M0,CC,B,2,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[2],M0_B_2_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_14,&---M0---CC---B---2---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[2]---M0_B_2_x_SaVocIdacVctrl
15,M0,CC,B,3,x,sa_voc_idac_vctrl,ddrcc_ctl1_bit[3],M0_B_3_x_SaVocIdacVctrl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQSCODES_CC_15,&---M0---CC---B---3---x---sa_voc_idac_vctrl---ddrcc_ctl1_bit[3]---M0_B_3_x_SaVocIdacVctrl
