Pin,MC,Field,Size,ExpectedData,Base,ItuffToken,ItuffDescriptor,ExitPort
TDO,M0,M0_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M0,M0_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M1,M1_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M1,M1_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M2,M2_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M2,M2_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M3,M3_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M3,M3_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M4,M4_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M4,M4_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M5,M5_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M5,M5_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M6,M6_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M6,M6_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
TDO,M7,M7_dfi_init_start,1,0x1,16,DFIFREQ,DFIFREQ,0
TDO,M7,M7_dfi_frequency,5,-,16,DFIFREQ,DFIFREQ,0
