Index,MMC,RunOffsetCmd,RunTestCmds,BitmaskTest,Field,Name
0,-,-,-,-,mmc0_status,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
1,-,-,-,-,mmc1_status,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
2,-,-,-,-,mmc2_status,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
3,-,-,-,-,mmc3_status,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
4,MMC0,-,-,-,MMC0_RootDirSignature1,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
5,MMC0,-,-,-,MMC0_RootDirSignature2,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
6,MMC0,-,-,-,MMC0_RootDirAllocUsed,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
7,MMC0,0,-,-,MMC0_RunOffset_RunCmd0,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
8,MMC0,1,-,-,MMC0_RunOffset_RunCmd1,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
9,MMC0,2,-,-,MMC0_RunOffset_RunCmd2,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
10,MMC0,3,-,-,MMC0_RunOffset_RunCmd3,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
11,MMC0,4,-,-,MMC0_RunOffset_RunCmd4,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
12,MMC0,5,-,-,MMC0_RunOffset_RunCmd5,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
13,MMC0,6,-,-,MMC0_RunOffset_RunCmd6,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
14,MMC0,7,-,-,MMC0_RunOffset_RunCmd7,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
15,MMC0,8,-,-,MMC0_RunOffset_RunCmd8,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
16,MMC0,9,-,-,MMC0_RunOffset_RunCmd9,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
17,MMC0,10,-,-,MMC0_RunOffset_RunCmd10,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
18,MMC0,11,-,-,MMC0_RunOffset_RunCmd11,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
19,MMC0,12,-,-,MMC0_RunOffset_RunCmd12,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
20,MMC0,13,-,-,MMC0_RunOffset_RunCmd13,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
21,MMC0,14,-,-,MMC0_RunOffset_RunCmd14,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_FWSTATUSEXT
