Index,MC,Sensor,Type,Step,Parameter,SubCh,Partition,FieldName,Register,Field,Name
0,M0,ANA,DATA,x,LVTNVT,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_x_DATA_LVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
1,M0,ANA,DATA,0,ULVTNGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_ULVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
2,M0,ANA,CC,x,LVTNVT,A,x,adcout,ddrcc_dll_csr,M0_A_x_x_CC_LVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
3,M0,ANA,CC,0,ULVTNGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_ULVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
4,M0,ANA,CLK,x,LVTNVT,x,x,adcout,ddrclk_dll_csr,M0_x_x_x_CLK_LVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
5,M0,ANA,CLK,0,ULVTNGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_ULVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
6,M0,ANA,COMP,x,LVTNVT,x,x,adcout,ddrcomp_adc_csr,M0_x_x_x_COMP_LVTNVT,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
7,M0,ANA,COMP,0,ULVTNGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_ULVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
8,M0,ANA,DATA,0,LVTNGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_LVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
9,M0,ANA,CC,0,LVTNGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_LVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
10,M0,ANA,CLK,0,LVTNGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_LVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
11,M0,ANA,COMP,0,LVTNGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_LVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
12,M0,ANA,DATA,0,SVTNGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_SVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
13,M0,ANA,CC,0,SVTNGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_SVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
14,M0,ANA,CLK,0,SVTNGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_SVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
15,M0,ANA,COMP,0,SVTNGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_SVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
16,M0,ANA,DATA,0,HVTNGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_HVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
17,M0,ANA,CC,0,HVTNGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_HVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
18,M0,ANA,CLK,0,HVTNGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_HVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
19,M0,ANA,COMP,0,HVTNGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_HVTNGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
20,M0,ANA,DATA,0,ULVTPGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_ULVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
21,M0,ANA,CC,0,ULVTPGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_ULVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
22,M0,ANA,CLK,0,ULVTPGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_ULVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
23,M0,ANA,COMP,0,ULVTPGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_ULVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
24,M0,ANA,DATA,0,LVTPGM,A,0,adcout,ddrd_n0_dll_csr,M0_A_0_0_DATA_LVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
25,M0,ANA,CC,0,LVTPGM,A,x,adcout,ddrcc_dll_csr,M0_A_x_0_CC_LVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
26,M0,ANA,CLK,0,LVTPGM,x,x,adcout,ddrclk_dll_csr,M0_x_x_0_CLK_LVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
27,M0,ANA,COMP,0,LVTPGM,x,x,adcout,ddrcomp_adc_csr,M0_x_x_0_COMP_LVTPGM,MIO_DDR::HVMADC_DDR_SMARTCTV_K_PREHVQK_TAP_FIXDIG_NOM_F1_RATIO1_MCR_CHECK_TRIMMING_ANA_APM
