Index,MC,Field,Name
0,M0,M0_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
1,M0,M0_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
2,M0,M0_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
3,M1,M1_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
4,M1,M1_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
5,M1,M1_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
6,M2,M2_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
7,M2,M2_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
8,M2,M2_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
9,M3,M3_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
10,M3,M3_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
11,M3,M3_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
12,M4,M4_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
13,M4,M4_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
14,M4,M4_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
15,M5,M5_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
16,M5,M5_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
17,M5,M5_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
18,M6,M6_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
19,M6,M6_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
20,M6,M6_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
21,M7,M7_cc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
22,M7,M7_data_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
23,M7,M7_ecc_schrev_en,MIO_DDR::BSTEPS_DDR_FUNC_K_PREHVQK_TAP_FIXDIG_NOM_X_LANE_REVERSAL_CHECK_LANEREVERSAL
